title,artist,genre,moods,release_date,version,download_url,cover_url
dead!,WATEVA,Future House,"Future House, Dark, Restless, Gloomy, energetic",14 Jun 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/640/dead-1586958693-v3jKDAYMI8.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/640/100x100/dead-1586958689-vFQcj9KysU.jpg
Superhero (feat. Sekai),"Rob Gasser, Sekai",Drum & Bass,"Drum & Bass, romantic, sad, energetic, Epic, Restless",12 Jun 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/639/superhero-feat-sekai-1586958680-l9Qa6Y1GJf.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/639/100x100/superhero-feat-sekai-1586958676-oH85tvwZmA.jpg
About Me,"Koven, ROY KNOX",Bass,"Bass, Euphoric, energetic, Epic, romantic, Glamorous",7 Jun 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/638/about-me-1586958656-YfIXF3Pscz.,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/638/100x100/about-me-1586958649-X23FRwe76k.jpg
i don't care,Whogaux,Trap,"Trap, sad, Angry, Restless, energetic",5 Jun 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/637/i-dont-care-1586958625-8Wqu0t2NWI.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/637/100x100/i-dont-care-1586958618-8LtcxDe7tV.jpg
RICH,Raven & Kreyn,Future House,"Future House, energetic, Epic, Euphoric, Restless",1 Jun 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/636/rich-1586958584-zQwWBIsJ1D.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/636/100x100/rich-1586958578-Mi5I9kt2yX.jpg
Habits (feat. AKACIA),"AXEN, HYLO",Trap,"Trap, Sexy, romantic, energetic, Epic, Euphoric",30 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/635/habits-feat-akacia-1586958564-j5nAtVqJVa.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/635/100x100/habits-feat-akacia-1586958561-CNeS6wZUEt.jpg
Desire,"Blooom, Ghost'n'Ghost",Trap,"Trap, Angry, sad, Dark, Glamorous, Gloomy",28 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/634/desire-1586958536-ml5Igco6eZ.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/634/100x100/desire-1586958533-CUJ5eWB7r4.jpg
Redemption (ft. Riell),"Besomorph, Coopex, Riell",Trap,"Trap, Angry, Dark, energetic, Gloomy, sad",24 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/633/redemption-ft-riell-1586958515-ANrfEQ0iv3.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/633/100x100/redemption-ft-riell-1586958512-L0c86Vn7d0.jpg
Something Inside,Mark Pettitt,Electronic,"Electronic, Quirky, Weird, Laid Back, Gloomy",23 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/632/something-inside-1586958492-vdWlkgczRu.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/632/100x100/something-inside-1586958489-lxziaFz8K7.jpg
Change Your Mind,Cadmium,Melodic Dubstep,"Melodic Dubstep, romantic, sad, Gloomy, Laid Back, Peaceful",21 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/631/change-your-mind-1586958464-si8ZBVsmE1.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/631/100x100/change-your-mind-1586958462-SXZMl0UcF3.jpg
Rise Up (ft. Veronica Bravo & M.I.M.E),"Egzod, Veronica Bravo, M.I.M.E",Trap,"Trap, energetic, Angry, Dark, Suspense, Gloomy",17 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/630/rise-up-ft-veronica-bravo-mime-1586958439-CrmU1RK9QZ.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/630/100x100/rise-up-ft-veronica-bravo-mime-1586958437-fn78R1qhUm.jpg
Walls (feat. Bryan Finlay),"Rival, Bryan Finlay",Trap,"Trap, sad, romantic, Dark, Gloomy",16 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/629/walls-feat-bryan-finlay-1586958404-JcdPE8Bf8F.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/629/100x100/walls-feat-bryan-finlay-1586958402-mMcIovunvw.jpg
Love Of My Life,Vosai,Trap,"Trap, romantic, sad, Dark, Gloomy, Suspense",14 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/628/love-of-my-life-1586958380-5WEk9mmdIx.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/628/100x100/love-of-my-life-1586958378-ZWhhttLsHm.jpg
Escape (feat. Rossy),"Diviners, Rossy",Indie,"Indie Dance, Happy, Hopeful, Euphoric, Dreamy, Epic",10 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/627/escape-feat-rossy-1586958353-KJRJ46vqem.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/627/100x100/escape-feat-rossy-1586958350-YFW52sKBAM.jpg
Until I Die,"Tom Wilson, joegarratt",Trap,"Trap, Dark, Gloomy, Angry, Restless, sad",9 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/626/until-i-die-1586958337-swTo7g05av.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/626/100x100/until-i-die-1586958331-eibwvJLGxh.jpg
Thunder,"Simbai, Eyemèr",Electronic,"Electronic, Dark, Gloomy, Angry, Restless, sad",7 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/625/thunder-1586958303-pYsm0IknCr.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/625/100x100/thunder-1586958300-NX3HKgmpmA.jpg
WILDFIRE,"Jim Yosef, Sara Skinner",Electronic,"Electronic, Happy, Hopeful, Euphoric, Dreamy, Epic",3 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/624/wildfire-1586958278-kxOzWd8BlM.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/624/100x100/wildfire-1586958272-GHAsCyPDHD.jpg
Stars,Diamond Eyes,Melodic Dubstep,"Melodic Dubstep, Happy, Hopeful, Euphoric, Dreamy, Epic",1 May 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/623/stars-1586958238-xjzzzfKdzC.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/623/100x100/stars-1586958235-ooEHDGJ6vQ.jpg
Perfect 10 (Unknown Brain & RudeLies VIP),"Unknown Brain, Heather Sommer, RudeLies",House,"House, energetic, Happy, Hopeful, Euphoric, Quirky",26 Apr 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/621/perfect-10-unknown-brain-rudelies-vip-1586958206-ePlpeomqS2.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/621/100x100/perfect-10-unknown-brain-rudelies-vip-1586958203-hP6JXh7wNg.jpg
Let Your Heartbreak (feat. Leo the Kind),"Emdi, RØGUENETHVN, Leo The Kind",Trap,"Trap, Dark, Gloomy, Angry, Restless, romantic, sad",26 Apr 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/622/let-your-heartbreak-feat-leo-the-kind-1586958221-6bGtDWzMMj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/622/100x100/let-your-heartbreak-feat-leo-the-kind-1586958217-JiaHnqiz6K.jpg
Won't Look Back,"BEAUZ, MOMO",House,"House, Happy, Euphoric, energetic, Hopeful",24 Apr 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/620/wont-look-back-1586958184-Yhs3Hn7ZmU.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/620/100x100/wont-look-back-1586958181-VO1zwzt6pQ.jpg
