title,artist,genre,moods,release_date,version,download_url,cover_url
Falling For You,"Charles B, Justmylørd",Future House,"Future House, energetic, Happy, Hopeful, romantic, Glamorous",9 Jun 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/434/falling-for-you-1686268845-KJ3AtFb2C5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/434/100x100/falling-for-you-1686268843-H4idvpofYM.jpg
Set It Free,"John Dee, Litil, Elle Vee",Future Bass,"Future Bass, Dark, energetic, Epic, Mysterious, Quirky, Restless",9 Jun 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/435/set-it-free-1686268851-phCkh1LtPk.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/435/100x100/set-it-free-1686268849-E99xjIz29d.jpg
Orphic Night (feat. Diandra Faye),"Diandra Faye, NIVIRO",Drum & Bass,"Drum & Bass, Epic, Restless, energetic, Euphoric, Quirky",8 Jun 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/433/orphic-night-feat-diandra-faye-1686182449-PlASV6Uxr3.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/433/100x100/1686216511_jdMTq2eFCL_orphic-night-final.jpg
Dracula,"Duke Gray, MANGASLAYERS, diGi",Electronic,"Electronic, Dark, Epic, Fear, Gloomy, Mysterious, Restless, scary",7 Jun 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/432/dracula-1686096045-g6u9LG2mv5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/432/100x100/dracula-1686096043-F3UDpUU4kE.jpg
Dangerous,"Beneath My Shade, VOLT VISION",Phonk,"Phonk, Dark, Epic, Gloomy, Quirky, Restless",6 Jun 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/431/dangerous-1686009646-UnGp0YLg9i.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/431/100x100/dangerous-1686009644-ICxlZQvyur.jpg
Erase You,"Trinist, Maze",Drum & Bass,"Drum & Bass, energetic, Epic, Euphoric, Glamorous",2 Jun 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/429/erase-you-1685664044-75TYxW9ihi.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/429/100x100/erase-you-1685664041-QI62lyZE20.jpg
Black and White,Josh Rubin,Future Bass,"Future Bass, Dreamy, Euphoric, Glamorous, Sexy, Mysterious",2 Jun 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/430/black-and-white-1685664047-rqApNIYbLB.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/430/100x100/black-and-white-1685664046-ed7yHXTzx8.jpg
Not A Thing,"Ghost'n'Ghost, Blooom, ASHWOOD",Electronic,"Electronic, Dreamy, Euphoric, Glamorous, Sexy, Mysterious",1 Jun 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/428/not-a-thing-1685577658-ue3EKVVaH5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/428/100x100/not-a-thing-1685577656-JZAz1CuQtB.jpg
The Rave,Toxic Joy,Future House,"Future House, energetic, Epic, Euphoric, Glamorous",31 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/427/the-rave-1685491245-odUtZMjhhv.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/427/100x100/the-rave-1685491242-DGBKTPKmfv.jpg
DANGEROUS,ANGELPLAYA,Phonk,"Phonk, Dark, energetic, Dreamy, Fear, Gloomy, Restless",30 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/423/dangerous-1685404846-LNKI5v6GNw.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/423/100x100/dangerous-1685404842-bcLD2EKi8i.jpg
Testify,"JOXION, EXYT",Future House,"Future House, energetic, Euphoric, Quirky, Restless, Epic",26 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/424/testify-1685462446-faeHHyMIFq.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/424/100x100/testify-1685462444-sA9a0Hq1fc.jpg
Just Getting Started,"Shiah Maisel, Jim Yosef",Electronic,"Electronic, Dreamy, energetic, Epic, Euphoric",26 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/425/just-getting-started-1685462455-t0hbbQ31i0.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/425/100x100/just-getting-started-1685462452-kcxIjlmqLD.jpg
Take Me Back,More Plastic,Drum & Bass,"Drum & Bass, Angry, energetic, Dark, Euphoric, Restless, Quirky",26 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/426/take-me-back-1685462467-l0Z9eY8dzp.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/426/100x100/take-me-back-1685462465-WjzLezmBp7.jpg
Useless,"jeonghyeon, Noisy Choice",Future House,"Future House, Dark, energetic, Restless, Epic, Euphoric",25 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/422/useless-1684972851-Hcmlym4GMk.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/422/100x100/useless-1684972849-E9E5gVJEx2.jpg
Falling,"CENTRIC, Aleya Mae",Drum & Bass,"Drum & Bass, Dreamy, energetic, Epic, Euphoric",24 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/421/falling-1684886444-0b17F2feja.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/421/100x100/1720603491_agH4fr08zR_CENTRIC---Falling.png
LOOK AT ME!,Rxm リム,Phonk,"Phonk, Dark, energetic, Dreamy, Fear, Gloomy, Restless",23 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/420/look-at-me-1684800044-ELwA38S36v.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/420/100x100/look-at-me-1684800042-7VDusPiSuE.jpg
high4aminute,Raude,Electronic,"Electronic, energetic, Euphoric, Quirky, Restless, Mysterious, Hopeful",19 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/416/high4aminute-1684494044-tsTXmS32nK.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/416/100x100/high4aminute-1684494041-n6XUW7lS1P.jpg
Alive (ft. iFeature),"iFeature, Thorne",Future House,"Future House, energetic, Euphoric, Quirky, Glamorous, Restless",19 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/417/alive-ft-ifeature-1684494047-rv8d5YqIks.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/417/100x100/alive-ft-ifeature-1684494045-BRrXa6Lizn.jpg
Lost In The Middle (ft. Mara Necia),"Mara Necia, T & Sugah",Drum & Bass,"Drum & Bass, energetic, Epic, Glamorous, Hopeful, Sexy",19 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/418/lost-in-the-middle-ft-mara-necia-1684494052-D3Aek9PLcP.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/418/100x100/lost-in-the-middle-ft-mara-necia-1684494050-W0WFDnnGGJ.jpg
Falling (w/ CRVN) (Ayjin Remix),"Ayjin, Rival",Hardstyle,"Hardstyle, Angry, Dark, Epic, Euphoric, Restless",18 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/419/falling-w-crvn-ayjin-remix-1684494057-xL0rP7ulnf.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/419/100x100/falling-w-crvn-ayjin-remix-1684494055-mQhCZYKHM6.jpg
Grey (ft. Endpoint),"Endpoint, MIHXI, Carpö",Melodic Dubstep,"Melodic Dubstep, energetic, Epic, Restless, Euphoric, Quirky, Weird",17 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/415/grey-ft-endpoint-1684281645-4QydfAFmXF.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/415/100x100/grey-ft-endpoint-1684281643-bFMakXKEVC.jpg
Spend It All,Guy Arthur,Melodic Dubstep,"Melodic Dubstep, energetic, Epic, Restless, Euphoric, Quirky, Weird",16 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/414/spend-it-all-1684195242-JOS0YHvWo5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/414/100x100/1684249439_1MAUZHNr7k_SPEND-IT-ALL-V1.png
Surrender,Josh Rubin,"Electronic, House","Electronic, House, energetic, Euphoric, Quirky, Restless, Mysterious, Hopeful, Sexy",12 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/412/surrender-1683849645-sHbAsemsvU.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/412/100x100/surrender-1683849643-2w9OtS9vgI.jpg
Would You Ever,"Maze, Trinist",Drum & Bass,"Drum & Bass, Epic, energetic, Euphoric, Quirky",12 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/413/would-you-ever-1683849652-Fw5408rbuE.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/413/100x100/would-you-ever-1683849649-tqpSQvRAvx.jpg
Drowning,Blooom,Drum & Bass,"Drum & Bass, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",11 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/411/drowning-1683763244-NnLY6O5BoK.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/411/100x100/drowning-1683763242-v9wv86x58e.jpg
Erased (ft. Barmuda),"Thymen Wiendels, Barmuda",Future House,"Future House, energetic, Euphoric, Quirky, Restless, Epic",10 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/410/erased-ft-barmuda-1683676845-MguV0Som4z.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/410/100x100/erased-ft-barmuda-1683676843-WynQpet4K2.jpg
ONI,Kage,Future House,"Future House, Euphoric, Happy, energetic, Hopeful",9 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/409/oni-1683590449-b3o3EBdt7g.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/409/100x100/oni-1683590446-JS2QK3LQhX.jpg
Dreamer (Rival Remix),"Rival, Alan Walker",Trap,"Trap, energetic, Euphoric, Glamorous, Happy, Epic, Weird",7 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/408/dreamer-rival-remix-1683417648-tlG33Woje8.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/408/100x100/dreamer-rival-remix-1683417646-Zn4BnPGZqR.jpg
Down For Anything,Daniel Levi,Electronic,"Electronic, Sexy, Euphoric, energetic, Happy, Glamorous, Mysterious, Dreamy",5 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/405/down-for-anything-1683244847-SW4VXCa2KR.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/405/100x100/down-for-anything-1683244845-UKxzmHHjLI.jpg
Your Highness,"4URA, JSTN DMND",Trap,"Trap, energetic, Epic, Restless, Euphoric, Quirky, Weird",5 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/406/your-highness-1683244852-fqlnsDdKY4.wav,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/406/100x100/your-highness-1683244851-TH9BXZsHQ7.jpg
Halo (I'll Be There),"Poylow, Misfit, MAD SNAX",Future House,"Future House, energetic, Gloomy, Mysterious, Restless",5 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/407/halo-ill-be-there-1683244860-NpFBOC5ZFH.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/407/100x100/halo-ill-be-there-1683244858-Ciy17QDDiY.jpg
Forever Finally Ends,"Laney, Clarx",Electronic,"Electronic, Angry, Dark, Epic, Euphoric, Restless",4 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/404/forever-finally-ends-1683158445-GEJRKawbxP.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/404/100x100/forever-finally-ends-1683158443-rtDg5UOynn.jpg
Ignite My Heart (feat. Chris Ponate),"Chris Ponate, Adikop",Future House,"Future House, energetic, Euphoric, Quirky, Restless, Dark, Glamorous, Sexy",3 May 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/403/ignite-my-heart-feat-chris-ponate-1683072045-EX5aTUXNER.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/403/100x100/ignite-my-heart-feat-chris-ponate-1683072043-y4zk1A2rWG.jpg
uWu BURST,"Nomeli, Maikubi, FLAYA PLAYA",Phonk,"Phonk, Dark, Gloomy, energetic, Restless, Quirky",2 May 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/402/uwu-burst-1682985646-G1eWfjM5Q1.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/402/100x100/uwu-burst-1682985644-IyLNoO3Gh6.jpg
Dreamer (Alex Skrindo Remix),"Alex Skrindo, Alan Walker",Future House,"Future House, energetic, Euphoric, Glamorous, Happy, Epic, Weird",30 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/401/dreamer-alex-skrindo-remix-1682812847-CuVnHwbOA5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/401/100x100/dreamer-alex-skrindo-remix-1682812845-ujT0oE6eGx.jpg
Your Love,Vaskan,Hardstyle,"Hardstyle, energetic, Epic, Glamorous, Euphoric",28 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/399/your-love-1682640044-QnHY0PKOdr.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/399/100x100/your-love-1682640042-W9IWngT52D.jpg
Desperate,NEFFEX,"Electronic, EDM","Electronic, EDM, energetic, Euphoric, Epic, Dark, Angry, Fear",28 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/400/desperate-1682640049-lDyYh7cwas.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/400/100x100/desperate-1682640048-tMvKj5OgSZ.jpg
If Looks Can Kill,"Sam Welch, KHEMIS, Coopex",Future House,"Future House, energetic, Gloomy, Mysterious, Restless",27 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/398/if-looks-can-kill-1682553645-duHdeREpAk.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/398/100x100/if-looks-can-kill-1682553642-z2bXtSXTPe.jpg
A&B,"ETikka, MADZI",Melodic Dubstep,"Melodic Dubstep, energetic, Epic, Restless, Euphoric, Quirky, Weird",26 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/397/ab-1682467244-NrZNdnMBAj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/397/100x100/ab-1682467242-3HRBBpgUNg.jpg
Dreamer (BEAUZ & Heleen Remix),"Heleen, BEAUZ, Alan Walker",,"Dark, energetic, Restless, Suspense, Quirky, Dreamy, sad",23 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/395/dreamer-beauz-remix-1682208046-Kyawp8Cv56.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/395/100x100/dreamer-beauz-remix-1682208044-Rj2CtZSzJo.jpg
Ride or Die (ft. Indy Skies),"Indy Skies, Pirapus, Andromedik",Drum & Bass,"Drum & Bass, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",21 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/392/ride-or-die-ft-indy-skies-1682035246-62KDXNlTqM.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/392/100x100/ride-or-die-ft-indy-skies-1682035243-iIY0XmtHA3.jpg
All Night,Toxic Joy,Future House,"Future House, energetic, Euphoric, Mysterious, Quirky, Restless, Epic, Weird",21 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/393/all-night-1682035257-KaVkEEcmP6.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/393/100x100/all-night-1682035255-TbJWNiVFyo.jpg
Don't Want To Feel,"nøll, Highlnd, Josh Rubin",Future Bass,"Future Bass, energetic, Mysterious, sad, Dreamy, Gloomy, Hopeful",21 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/394/dont-want-to-feel-1682035263-2JXbm4Mu9F.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/394/100x100/dont-want-to-feel-1682035261-FBtxPAnKXi.jpg
PLAYAS NEVER DIE,ANGELPLAYA,Phonk,"Phonk, Dark, energetic, Gloomy, Mysterious, Restless",20 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/391/1681982707_j4KurRpGjt_01-ANGELPLAYA---PLAYAS-NEVER-DIE-NCS-Release-1.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/391/100x100/playas-never-die-1681948843-x4rfRcFJsK.jpg
Overcome,CENTRIC,Drum & Bass,"Drum & Bass, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",19 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/390/overcome-1681862444-ZFubp7DpRr.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/390/100x100/1720603511_hr4rQrnlvD_CENTRIC---Overcome.png
Set You Free,Siimi,Drum & Bass,"Drum & Bass, Dreamy, energetic, Mysterious, Quirky, Restless, Weird",18 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/389/set-you-free-1681776044-2cmNJsTRXB.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/389/100x100/set-you-free-1681776042-54MDTVzQ44.jpg
Dreamer (Egzod Remix),"Egzod, Alan Walker",Melodic Dubstep,"Melodic Dubstep, energetic, Euphoric, Glamorous, Happy, Epic, Weird",16 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/388/dreamer-egzod-remix-1681603246-ZVuIoQeedU.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/388/100x100/dreamer-egzod-remix-1681603244-aQrEocvmqG.jpg
Everything U Promised,"JJL, Malarkey",Future House,"Future House, Dark, Euphoric, energetic, Restless",14 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/385/everything-u-promised-1681430445-o48RfXGQwM.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/385/100x100/everything-u-promised-1681430443-8vUUJk5P6C.jpg
The Raven,"XTOM, ATSMXN",Phonk,"Phonk, Dark, energetic, Gloomy, Mysterious, Restless",14 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/386/the-raven-1681430451-UWC7yiDKM4.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/386/100x100/the-raven-1681430449-GfMip01KBI.jpg
Immortal (feat. Josh Rubin),"CITYWLKR, Josh Rubin",Future House,"Future House, Dark, energetic, Gloomy, Mysterious, Restless",14 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/387/immortal-feat-josh-rubin-1681430457-9E9o4nXlDy.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/387/100x100/immortal-feat-josh-rubin-1681430454-KZGK9j872L.jpg
Falling Down,Alex Skrindo,Future House,"Future House, energetic, Gloomy, Mysterious, Restless",13 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/384/falling-down-1681344044-QBcmXMCcyc.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/384/100x100/falling-down-1681344043-jPmn5yr4Kj.jpg
094,JOXION,Future House,"Future House, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",12 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/382/1681310355_dOuJe8pucP_JOXION---094-Radio-Edit.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/382/100x100/094-1681257644-LBBlObBGRw.jpg
Bad Habit (feat. Zaug) - Phonk Version,"Zaug, Jéja",Phonk,"Phonk, energetic, Epic, Glamorous, Quirky, Restless, romantic, Dark, Gloomy",12 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/383/bad-habit-feat-zaug-phonk-version-1681257652-UV8yjeWUX4.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/383/100x100/bad-habit-feat-zaug-phonk-version-1681257649-14D35K1Vt7.jpg
Paper Walls (with Mykyl),"Mykyl, Riggs, Elliot Kings",Electronic,"Electronic, Dreamy, energetic, Euphoric, Glamorous, Happy, Hopeful, Quirky, romantic, scary",11 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/381/paper-walls-with-mykyl-1681171246-Wy9SRdzbWt.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/381/100x100/paper-walls-with-mykyl-1681171244-4bboV8DU0S.jpg
Dreamer,Alan Walker,House,"House, energetic, Epic, Euphoric, Glamorous, Quirky, Restless, romantic",7 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/378/dreamer-1680825645-w02oSTah2D.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/378/100x100/dreamer-1680825643-xI8uIuthxk.jpg
Reflect,Syn Cole,House,"House, energetic, Epic, Euphoric, Glamorous, Quirky, Restless, romantic",7 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/379/reflect-1680825649-v7IWVR2wep.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/379/100x100/reflect-1680825647-uMebcSg1CA.jpg
Mirage Of My Heart (ft. Fayzone),"Fayzone, Valax, D'Amico",Future House,"Future House, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",7 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/380/mirage-of-my-heart-ft-fayzone-1680825656-bJ1X7g0dVC.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/380/100x100/mirage-of-my-heart-ft-fayzone-1680825654-pAsyehoSHb.jpg
Overdrive (ft. Ellerslie),"Ellerslie, Millbrook",Drum & Bass,"Drum & Bass, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",6 Apr 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/377/overdrive-ft-ellerslie-1680739244-e0q1adtRym.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/377/100x100/overdrive-ft-ellerslie-1680739243-Y7Sa1q4KCD.jpg
Ignite,"Nat James, 22 Void Beats, VERB","Trap, Electronic","Trap, Electronic, energetic, Euphoric, Mysterious, Quirky, Restless, Epic, Weird",5 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/376/ignite-1680652845-5ir4KDbx43.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/376/100x100/ignite-1680652842-uf4ZgT2uWk.jpg
CONNECTION,Rxm リム,Phonk,"Phonk, Dark, energetic, Gloomy, Mysterious, Restless",4 Apr 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/375/connection-1680566444-5wFuXf3pwK.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/375/100x100/connection-1680566442-pQJHEedUSQ.jpg
Rush,iFeature,Drum & Bass,"Drum & Bass, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",31 Mar 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/373/rush-1680220841-ngfVkiheAI.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/373/100x100/1680254201_cYqqp4tnxp_iFeature---Rush-Artwork-3000x3000.png
One Taste,"URBANO, More Plastic",Drum & Bass,"Drum & Bass, Dark, energetic, Gloomy, Mysterious, Restless, Quirky",31 Mar 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/374/one-taste-1680220846-Hy301YYZAJ.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/374/100x100/one-taste-1680220844-VRKrBCdKHE.jpg
Blade Fury,"ATSMXN, VØJ",Phonk,"Phonk, Dark, energetic, Dreamy, Fear, Gloomy, Restless",30 Mar 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/372/blade-fury-1680134442-Q6feW4nc9p.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/372/100x100/blade-fury-1680134441-mZLH70Htm2.jpg
aya,joegarratt,Trap,"Trap, Dreamy, energetic, Dark, Gloomy, Glamorous, Sexy",29 Mar 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/371/aya-1680048043-tw5MrD9hs3.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/371/100x100/aya-1680048041-0vNfK08tTJ.jpg
ITTY BITTY (feat. EHLE),"EHLE, Henri Werner",Electronic,"Electronic, Dreamy, energetic, Dark, Gloomy, Glamorous",28 Mar 2023,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/370/itty-bitty-feat-ehle-1679961643-ATy2zLQ75y.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/370/100x100/itty-bitty-feat-ehle-1679961640-PXkU65zZm7.jpg
Bad Habit (feat. Zaug),"Zaug, Jéja",Electronic,"Electronic, energetic, Epic, Euphoric, Glamorous, Quirky, Restless, romantic",24 Mar 2023,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/367/bad-habit-feat-zaug-1679619646-W4Zoixx5nI.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/367/100x100/bad-habit-feat-zaug-1679619644-tvdPYtosQ2.jpg
